[11-Oct-2017 01:12:40 PRC] PHP Parse error:  syntax error, unexpected ''articlecat'' (T_CONSTANT_ENCAPSED_STRING), expecting variable (T_VARIABLE) in D:\phpStudy\WWW\mifeng\Admin\Lib\Model\ArticlecatModel.class.php on line 9
[22-Oct-2017 16:22:47 PRC] PHP Fatal error:  Cannot use object of type Page as array in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 117
[22-Oct-2017 17:09:23 PRC] PHP Parse error:  syntax error, unexpected ',' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\8630110991eec29bfba089e1e17bebad.php on line 124
[22-Oct-2017 17:37:44 PRC] PHP Parse error:  syntax error, unexpected 'public' (T_PUBLIC) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 185
[22-Oct-2017 17:38:51 PRC] PHP Parse error:  syntax error, unexpected ';' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 169
[22-Oct-2017 18:13:50 PRC] PHP Parse error:  syntax error, unexpected ']' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 193
[22-Oct-2017 18:13:51 PRC] PHP Parse error:  syntax error, unexpected ']' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 193
[22-Oct-2017 18:14:08 PRC] PHP Parse error:  syntax error, unexpected ']' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 193
[22-Oct-2017 18:15:02 PRC] PHP Parse error:  syntax error, unexpected ']' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 193
[23-Oct-2017 01:27:52 PRC] PHP Fatal error:  Call to a member function where() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 206
[23-Oct-2017 01:28:07 PRC] PHP Fatal error:  Call to a member function where() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 206
[23-Oct-2017 01:28:20 PRC] PHP Fatal error:  Call to a member function where() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 206
[23-Oct-2017 01:28:47 PRC] PHP Fatal error:  Call to undefined function find() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 206
[23-Oct-2017 01:29:06 PRC] PHP Fatal error:  Call to undefined function select() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 206
[23-Oct-2017 01:29:26 PRC] PHP Fatal error:  Call to undefined function select() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 206
[23-Oct-2017 01:30:00 PRC] PHP Fatal error:  Call to undefined function sum() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 206
[23-Oct-2017 01:30:36 PRC] PHP Fatal error:  Call to undefined function um() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 206
[23-Oct-2017 01:51:37 PRC] PHP Fatal error:  Cannot use object of type Page as array in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\0bb0a7ad009b7a1a23545c6e86886262.php on line 49
[23-Oct-2017 01:51:46 PRC] PHP Fatal error:  Cannot use object of type Page as array in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\0bb0a7ad009b7a1a23545c6e86886262.php on line 49
[23-Oct-2017 01:52:38 PRC] PHP Fatal error:  Cannot use object of type Page as array in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\0bb0a7ad009b7a1a23545c6e86886262.php on line 49
[23-Oct-2017 10:16:47 PRC] PHP Fatal error:  Call to undefined function find() in E:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\InformationAction.class.php on line 105
[23-Oct-2017 11:46:25 Asia/Shanghai] PHP Warning:  fopen(/Uploads/user/): failed to open stream: No such file or directory in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 4
[23-Oct-2017 11:46:25 Asia/Shanghai] PHP Warning:  curl_setopt(): supplied argument is not a valid File-Handle resource in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 6
[23-Oct-2017 11:46:25 Asia/Shanghai] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 11
[23-Oct-2017 11:46:37 Asia/Shanghai] PHP Warning:  fopen(Uploads/user/): failed to open stream: No such file or directory in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 4
[23-Oct-2017 11:46:37 Asia/Shanghai] PHP Warning:  curl_setopt(): supplied argument is not a valid File-Handle resource in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 6
[23-Oct-2017 11:46:38 Asia/Shanghai] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 11
[23-Oct-2017 11:47:10 Asia/Shanghai] PHP Warning:  fopen(Uploads/user): failed to open stream: Permission denied in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 4
[23-Oct-2017 11:47:10 Asia/Shanghai] PHP Warning:  curl_setopt(): supplied argument is not a valid File-Handle resource in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 6
[23-Oct-2017 11:47:11 Asia/Shanghai] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 11
[23-Oct-2017 11:47:50 Asia/Shanghai] PHP Warning:  fopen(/Uploads/user/): failed to open stream: No such file or directory in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 18
[23-Oct-2017 11:47:50 Asia/Shanghai] PHP Warning:  curl_setopt(): supplied argument is not a valid File-Handle resource in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 20
[23-Oct-2017 11:47:50 Asia/Shanghai] PHP Warning:  fclose() expects parameter 1 to be resource, boolean given in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 24
[23-Oct-2017 11:47:50 Asia/Shanghai] PHP Fatal error:  Class 'PubCommon' not found in E:\phpStudy\WWW\mifeng\mifeng\index2.php on line 25
[25-Oct-2017 00:29:00 PRC] PHP Fatal error:  Call to undefined function imagecopymerge_alpha() in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Extend\Library\ORG\Util\Image.class.php on line 83
[25-Oct-2017 00:29:41 PRC] PHP Fatal error:  Using $this when not in object context in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Extend\Library\ORG\Util\Image.class.php on line 83
[25-Oct-2017 20:48:53 PRC] PHP Fatal error:  Cannot access protected property Page::$totalPages in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 313
[25-Oct-2017 20:49:01 PRC] PHP Fatal error:  Cannot use object of type Page as array in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 313
[25-Oct-2017 20:49:20 PRC] PHP Fatal error:  Cannot access protected property Page::$totalPages in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 313
[25-Oct-2017 20:51:52 PRC] PHP Fatal error:  Cannot use object of type Page as array in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\1e48e4fae9dc537c1f42816ecc659ee9.php on line 45
[25-Oct-2017 23:54:07 PRC] PHP Parse error:  syntax error, unexpected '$file_url' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 76
[25-Oct-2017 23:55:06 PRC] PHP Parse error:  syntax error, unexpected '$file_url' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 77
[25-Oct-2017 23:55:24 PRC] PHP Parse error:  syntax error, unexpected '$file_url' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\ArticleAction.class.php on line 77
[29-Oct-2017 10:21:11 PRC] PHP Fatal error:  Call to a member function is_pay() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\CourseAction.class.php on line 30
[29-Oct-2017 10:24:08 PRC] PHP Fatal error:  Call to a member function is_pay() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\CourseAction.class.php on line 102
[29-Oct-2017 17:16:29 PRC] PHP Fatal error:  Call to undefined method File::make_dir() in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\CourseAction.class.php on line 198
[29-Oct-2017 17:39:21 PRC] PHP Fatal error:  Cannot redeclare CourseAction::del() in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\CourseAction.class.php on line 285
[01-Nov-2017 23:27:07 PRC] PHP Fatal error:  Cannot redeclare MallModel::count() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\MallModel.class.php on line 38
[01-Nov-2017 23:27:09 PRC] PHP Fatal error:  Cannot redeclare MallModel::count() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\MallModel.class.php on line 38
[02-Nov-2017 22:57:11 PRC] PHP Parse error:  syntax error, unexpected '=', expecting ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\e33521610f42429f48a9a96b592f7f2f.php on line 37
[02-Nov-2017 22:58:06 PRC] PHP Parse error:  syntax error, unexpected '=', expecting ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\e33521610f42429f48a9a96b592f7f2f.php on line 37
[04-Nov-2017 01:37:00 PRC] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\a2155dce706e49c7e02989d5643c1425.php on line 50
[04-Nov-2017 01:37:21 PRC] PHP Parse error:  syntax error, unexpected '' (T_ENCAPSED_AND_WHITESPACE), expecting identifier (T_STRING) or variable (T_VARIABLE) or number (T_NUM_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\a2155dce706e49c7e02989d5643c1425.php on line 50
[04-Nov-2017 19:16:21 PRC] PHP Fatal error:  Class 'IpLocation' not found in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 11
[04-Nov-2017 19:30:15 PRC] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 26
[04-Nov-2017 19:30:37 PRC] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 26
[04-Nov-2017 23:19:31 PRC] PHP Parse error:  syntax error, unexpected '}', expecting identifier (T_STRING) or variable (T_VARIABLE) or '{' or '$' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 68
[05-Nov-2017 02:17:19 PRC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 74
[05-Nov-2017 02:17:22 PRC] PHP Parse error:  syntax error, unexpected 'if' (T_IF) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 74
[05-Nov-2017 12:36:08 PRC] PHP Parse error:  syntax error, unexpected 'M' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 174
[05-Nov-2017 12:36:51 PRC] PHP Parse error:  syntax error, unexpected 'M' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 174
[05-Nov-2017 12:36:52 PRC] PHP Parse error:  syntax error, unexpected 'M' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 174
[05-Nov-2017 12:37:05 PRC] PHP Parse error:  syntax error, unexpected 'M' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 174
[05-Nov-2017 12:37:17 PRC] PHP Parse error:  syntax error, unexpected '}' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 94
[05-Nov-2017 13:06:12 PRC] PHP Parse error:  syntax error, unexpected 'var' (T_VAR) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 94
[05-Nov-2017 21:17:13 PRC] PHP Parse error:  syntax error, unexpected 'M' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\MallAction.class.php on line 227
[05-Nov-2017 22:44:09 PRC] PHP Parse error:  syntax error, unexpected '；' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\UserAction.class.php on line 102
[05-Nov-2017 22:44:09 PRC] PHP Parse error:  syntax error, unexpected '；' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\UserAction.class.php on line 102
[05-Nov-2017 22:44:10 PRC] PHP Parse error:  syntax error, unexpected '；' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\UserAction.class.php on line 102
[06-Nov-2017 01:16:48 PRC] PHP Fatal error:  Cannot redeclare RecruitmentAction::cast_info() in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\RecruitmentAction.class.php on line 135
[06-Nov-2017 01:17:08 PRC] PHP Parse error:  syntax error, unexpected 'where' (T_STRING) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Model\RecruitmentModel.class.php on line 58
[06-Nov-2017 23:51:26 PRC] PHP Fatal error:  Call to a member function where() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\CommonAction.class.php on line 64
[06-Nov-2017 23:51:27 PRC] PHP Fatal error:  Call to a member function where() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\CommonAction.class.php on line 64
[06-Nov-2017 23:51:29 PRC] PHP Fatal error:  Call to a member function where() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\CommonAction.class.php on line 64
[06-Nov-2017 23:51:33 PRC] PHP Fatal error:  Call to a member function where() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\CommonAction.class.php on line 64
[07-Nov-2017 01:05:13 PRC] PHP Fatal error:  Cannot use isset() on the result of a function call (you can use "null !== func()" instead) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\UserAction.class.php on line 40
[15-Nov-2017 01:03:54 PRC] PHP Parse error:  syntax error, unexpected ')' in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\ReelAction.class.php on line 92
[15-Nov-2017 01:53:12 PRC] PHP Fatal error:  Call to a member function where() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\ReelAction.class.php on line 57
[15-Nov-2017 02:00:21 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:00:47 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:02:07 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:02:43 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:03:23 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:03:48 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:04:02 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:04:34 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:05:01 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[15-Nov-2017 02:05:55 PRC] PHP Parse error:  syntax error, unexpected 'else' (T_ELSE) in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\72956172d4416b37d73d95cdf54ec44a.php on line 60
[18-Nov-2017 14:08:50 PRC] PHP Parse error:  syntax error, unexpected ';' in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\CommonAction.class.php on line 97
[18-Nov-2017 16:21:07 PRC] PHP Parse error:  syntax error, unexpected ':' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\e8bf90f56948bd6fc4e4e4cb801e550c.php on line 57
[18-Nov-2017 17:48:34 PRC] PHP Fatal error:  Call to a member function data() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 452
[18-Nov-2017 17:48:43 PRC] PHP Fatal error:  Call to a member function data() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 452
[18-Nov-2017 17:48:55 PRC] PHP Fatal error:  Call to a member function data() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 452
[18-Nov-2017 17:49:21 PRC] PHP Fatal error:  Call to a member function data() on null in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 452
[18-Nov-2017 18:06:16 PRC] PHP Fatal error:  Cannot redeclare RecruitmentAction::del() in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\RecruitmentAction.class.php on line 236
[19-Nov-2017 18:18:40 PRC] PHP Fatal error:  Call to undefined function service() in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\UserAction.class.php on line 132
[19-Nov-2017 18:19:15 PRC] PHP Fatal error:  Call to undefined function service() in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\UserAction.class.php on line 133
[19-Nov-2017 18:19:45 PRC] PHP Fatal error:  Call to undefined function service() in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\UserAction.class.php on line 133
[19-Nov-2017 18:21:28 PRC] PHP Parse error:  syntax error, unexpected ',' in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\UserAction.class.php on line 115
[19-Nov-2017 18:21:46 PRC] PHP Parse error:  syntax error, unexpected ',' in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\UserAction.class.php on line 115
[26-Nov-2017 23:34:03 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[26-Nov-2017 23:34:03 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[26-Nov-2017 23:34:03 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[27-Nov-2017 00:36:42 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[27-Nov-2017 00:37:03 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[27-Nov-2017 00:37:03 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[27-Nov-2017 00:37:03 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[27-Nov-2017 00:37:24 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[27-Nov-2017 00:51:24 PRC] PHP Fatal error:  Cannot redeclare RecruitmentModel::lists2() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 235
[27-Nov-2017 00:51:26 PRC] PHP Fatal error:  Cannot redeclare RecruitmentModel::lists2() in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 235
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 20:43:49 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[03-Dec-2017 21:46:46 PRC] PHP Fatal error:  Maximum execution time of 30 seconds exceeded in D:\phpStudy\WWW\mifeng\mifeng\ThinkPHP\Common\functions.php on line 552
[06-Dec-2017 01:07:49 PRC] PHP Parse error:  syntax error, unexpected '$data' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\InformationAction.class.php on line 298
[06-Dec-2017 01:11:44 PRC] PHP Parse error:  syntax error, unexpected ';' in D:\phpStudy\WWW\mifeng\mifeng\Admin\Lib\Action\InformationAction.class.php on line 311
[19-Jan-2018 00:53:43 PRC] PHP Parse error:  syntax error, unexpected ')' in D:\phpStudy\WWW\mifeng\mifeng\Cache\Runtime\Home\Cache\16b57a314dd92288f3bd36bc0391e376.php on line 127
[19-Jan-2018 01:19:53 PRC] PHP Parse error:  syntax error, unexpected '$this' (T_VARIABLE) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\RecruitmentAction.class.php on line 123
[19-Jan-2018 15:03:08 PRC] PHP Fatal error:  require_once(): Failed opening required '../lib/WxPay.Api.php' (include_path='.;C:\php\pear;./ThinkPHP/Extend/Vendor/') in E:\phpStudy\WWW\mifeng\mifeng\wx\example\WxPay.JsApiPay.php on line 2
[19-Jan-2018 15:05:14 PRC] PHP Fatal error:  require_once(): Failed opening required '../lib/WxPay.Api.php' (include_path='.;C:\php\pear;./ThinkPHP/Extend/Vendor/') in E:\phpStudy\WWW\mifeng\mifeng\wx\example\WxPay.JsApiPay.php on line 2
[19-Jan-2018 15:05:50 PRC] PHP Fatal error:  require_once(): Failed opening required '../WxPay.Exception.php' (include_path='.;C:\php\pear;./ThinkPHP/Extend/Vendor/') in E:\phpStudy\WWW\mifeng\mifeng\wx\lib\WxPay.Api.php on line 2
[19-Jan-2018 15:09:26 PRC] PHP Fatal error:  require_once(): Failed opening required '../lib/WxPay.Api.php' (include_path='.;C:\php\pear;./ThinkPHP/Extend/Vendor/') in E:\phpStudy\WWW\mifeng\mifeng\wx\example\WxPay.JsApiPay.php on line 2
[19-Jan-2018 15:10:04 PRC] PHP Fatal error:  require_once(): Failed opening required '../lib/WxPay.Api.php' (include_path='.;C:\php\pear;./ThinkPHP/Extend/Vendor/') in E:\phpStudy\WWW\mifeng\mifeng\wx\example\WxPay.JsApiPay.php on line 2
[19-Jan-2018 15:11:53 PRC] PHP Fatal error:  require_once(): Failed opening required '../lib/WxPay.Api.php' (include_path='.;C:\php\pear;./ThinkPHP/Extend/Vendor/') in E:\phpStudy\WWW\mifeng\mifeng\wx\example\WxPay.JsApiPay.php on line 2
[19-Jan-2018 15:12:33 PRC] PHP Fatal error:  Cannot redeclare class Log in E:\phpStudy\WWW\mifeng\mifeng\wx\example\log.php on line 31
[19-Jan-2018 17:24:31 PRC] PHP Fatal error:  Call to a member function validate() on null in E:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 537
[19-Jan-2018 17:24:47 PRC] PHP Fatal error:  Call to a member function validate() on null in E:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 537
[19-Jan-2018 17:36:12 PRC] PHP Fatal error:  Call to a member function validate() on null in E:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 537
[19-Jan-2018 17:38:30 PRC] PHP Fatal error:  Call to a member function validate() on null in E:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Action\MemberAction.class.php on line 537
[20-Jan-2018 00:41:44 PRC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 166
[20-Jan-2018 00:43:14 PRC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 168
[20-Jan-2018 00:43:21 PRC] PHP Parse error:  syntax error, unexpected 'return' (T_RETURN), expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 168
[20-Jan-2018 00:43:34 PRC] PHP Parse error:  syntax error, unexpected 'var_dump' (T_STRING), expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 167
[20-Jan-2018 00:44:08 PRC] PHP Parse error:  syntax error, unexpected 'var_dump' (T_STRING), expecting function (T_FUNCTION) in D:\phpStudy\WWW\mifeng\mifeng\Home\Lib\Model\RecruitmentModel.class.php on line 168
